"";"ProjectId";"Date";"ModuleLevel";"Correlation"
"1";1;"2013-01-08";2;-0,335878900887636
"2";1;"2013-05-22";2;-0,58573511852713
"3";1;"2013-05-23";2;-0,58573511852713
"4";1;"2013-05-24";2;-0,537232314813842
"5";1;"2013-05-25";2;-0,58573511852713
"6";1;"2013-05-26";2;-0,573323303088786
"7";1;"2013-05-29";2;-0,58573511852713
"8";1;"2013-05-30";2;-0,573323303088786
"9";1;"2013-05-31";2;-0,58573511852713
"10";1;"2013-06-02";2;-0,537232314813842
"11";1;"2013-06-03";2;-0,58573511852713
"12";1;"2013-06-05";2;-0,58573511852713
"13";1;"2013-06-19";2;-0,58573511852713
"14";1;"2013-06-21";2;-0,58573511852713
"15";1;"2013-06-27";2;-0,573323303088786
"16";1;"2013-06-28";2;-0,58573511852713
"17";1;"2013-07-01";2;-0,58573511852713
"18";1;"2013-07-02";2;-0,537232314813842
"19";1;"2013-07-03";2;-0,573323303088786
"20";1;"2013-07-04";2;-0,573323303088786
"21";1;"2013-07-08";2;-0,583698395558981
"22";1;"2013-07-10";2;-0,573323303088786
"23";1;"2013-07-11";2;-0,583698395558981
"24";1;"2013-07-19";2;-0,537232314813842
"25";1;"2013-07-22";2;-0,537232314813842
"26";1;"2013-07-24";2;-0,583698395558981
"27";1;"2013-07-25";2;-0,573323303088786
"28";1;"2013-08-02";2;-0,583698395558981
"29";1;"2013-08-04";2;-0,583698395558981
"30";1;"2013-08-07";2;-0,583698395558981
"31";1;"2013-08-08";2;-0,583698395558981
"32";1;"2013-08-10";2;-0,573323303088786
"33";1;"2013-08-12";2;-0,583698395558981
"34";1;"2013-08-15";2;-0,50536916733581
"35";1;"2013-08-16";2;-0,372090593120454
"36";1;"2013-08-19";2;-0,371766826933844
"37";1;"2013-08-20";2;-0,535491142507782
"38";1;"2013-08-21";2;-0,54986256998592
"39";1;"2013-08-24";2;-0,54986256998592
"40";1;"2013-08-26";2;-0,527476235632324
"41";1;"2013-08-27";2;-0,495357404581283
"42";1;"2013-08-28";2;-0,527476235632324
"43";1;"2013-08-29";2;-0,555460816428628
"44";1;"2013-08-30";2;-0,555460816428628
"45";1;"2013-09-03";2;-0,531211855167316
