"";"my.ta"
"jquery/";-164117,131983806
"jquery/.github/";0
"jquery/ajax/";-1155,34898785425
"jquery/attr/";0
"jquery/browse/";0
"jquery/build/";-28947,179757085
"jquery/build/build/";0
"jquery/build/docs/";0
"jquery/build/docs/js/";0
"jquery/build/docs/style/";0
"jquery/build/js/";0
"jquery/build/js/lib/";0
"jquery/build/lib/";-9242,91983805668
"jquery/build/release/";-1653,64693446089
"jquery/build/runtest/";0
"jquery/build/speed/";0
"jquery/build/tasks/";-5077,95656779661
"jquery/build/tasks/lib/";-1155,36384976526
"jquery/build/test/";-29447,1141700405
"jquery/build/test/data/";-28291,7368421053
"jquery/build/test/js/";0
"jquery/build/test/tests/";0
"jquery/core/";-1155,34898785425
"jquery/dist/";0
"jquery/docs/";-13568,1894736842
"jquery/docs/build/";0
"jquery/docs/data/";0
"jquery/docs/events/";0
"jquery/docs/js/";0
"jquery/docs/style/";-10102,0850202429
"jquery/drag/";0
"jquery/event/";-1155,34898785425
"jquery/external/npo/";-1155,34722222222
"jquery/external/qunit-assert-step/";-1155,36591478697
"jquery/external/qunit/";0
"jquery/external/requirejs/";0
"jquery/external/sinon/";0
"jquery/external/sizzle/";0
"jquery/external/sizzle/dist/";0
"jquery/form/";-1155,34898785425
"jquery/fx/";-1155,34898785425
"jquery/jquery/";0
"jquery/plugins/center/";0
"jquery/plugins/compat/";0
"jquery/plugins/form/";0
"jquery/sort/";0
"jquery/speed/";-1658,67125506073
"jquery/src/";-85846,9384615385
"jquery/src/ajax/";-9334,58056680162
"jquery/src/ajax/var/";-3004,66491043203
"jquery/src/attributes/";-5745,16859852476
"jquery/src/core/";-7021,04741833509
"jquery/src/core/var/";0
"jquery/src/css/";-11681,4910432034
"jquery/src/css/var/";-5532,1095890411
"jquery/src/data/";-4621,43308746048
"jquery/src/data/var/";-2310,71022128556
"jquery/src/deferred/";-1155,35983263598
"jquery/src/dimensions/";0
"jquery/src/effects/";-2310,71022128556
"jquery/src/event/";-3070,36437246964
"jquery/src/exports/";-2079,39304531085
"jquery/src/fx/";-1155,34898785425
"jquery/src/jquery/";-1155,34898785425
"jquery/src/manipulation/";-6422,06743940991
"jquery/src/manipulation/var/";-2151,20864067439
"jquery/src/queue/";-1155,33825079031
"jquery/src/selector/";-2310,7044534413
"jquery/src/sizzle/dist/";-2310,7100130039
"jquery/src/sizzle/test/";-1514,44863459038
"jquery/src/transports/";0
"jquery/src/traversing/";-3186,03607666291
"jquery/src/traversing/var/";-2030,64937993236
"jquery/src/var/";-17168,5458377239
"jquery/test/";-47678,7165991903
"jquery/test/data/";-30524,0850202429
"jquery/test/data/ajax/";-708,172469635628
"jquery/test/data/core/";-1060,1974789916
"jquery/test/data/css/";0
"jquery/test/data/data/";0
"jquery/test/data/dimensions/";0
"jquery/test/data/event/";-1155,34898785425
"jquery/test/data/manipulation/";0
"jquery/test/data/offset/";0
"jquery/test/data/selector/";0
"jquery/test/data/support/";-3479,17651821862
"jquery/test/integration/";-1155,37637362637
"jquery/test/integration/data/";-1155,37637362637
"jquery/test/lib/";-10398,2647773279
"jquery/test/lib/Test/";-9242,91983805668
"jquery/test/libs/";-3466,08062418726
"jquery/test/libs/qunit/";-1155,33680104031
"jquery/test/libs/sinon/";-1155,33680104031
"jquery/test/node_smoke_tests/";-8868,65962441315
"jquery/test/node_smoke_tests/lib/";-3341,31924882629
"jquery/test/promises_aplus_adapters/";0
"jquery/test/tests/";0
"jquery/test/unit/";-19074,2834008097
"jquery/tmpl/";0
