"";"my.ta"
"jquery/build/docs/js/";0
"jquery/build/docs/style/";0
"jquery/build/js/lib/";0
"jquery/build/tasks/lib/";-1155,36384976526
"jquery/build/test/data/";-28291,7368421053
"jquery/build/test/js/";0
"jquery/build/test/tests/";0
"jquery/external/sizzle/dist/";0
"jquery/src/ajax/var/";-3004,66491043203
"jquery/src/core/var/";0
"jquery/src/css/var/";-5532,1095890411
"jquery/src/data/var/";-2310,71022128556
"jquery/src/manipulation/var/";-2151,20864067439
"jquery/src/sizzle/dist/";-2310,7100130039
"jquery/src/sizzle/test/";-1514,44863459038
"jquery/src/traversing/var/";-2030,64937993236
"jquery/test/data/ajax/";-708,172469635628
"jquery/test/data/core/";-1060,1974789916
"jquery/test/data/css/";0
"jquery/test/data/data/";0
"jquery/test/data/dimensions/";0
"jquery/test/data/event/";-1155,34898785425
"jquery/test/data/manipulation/";0
"jquery/test/data/offset/";0
"jquery/test/data/selector/";0
"jquery/test/data/support/";-3479,17651821862
"jquery/test/integration/data/";-1155,37637362637
"jquery/test/lib/Test/";-9242,91983805668
"jquery/test/libs/qunit/";-1155,33680104031
"jquery/test/libs/sinon/";-1155,33680104031
"jquery/test/node_smoke_tests/lib/";-3341,31924882629
