"";"ModulePath";"ModuleLevel";"AlternativeCost";"pid"
"11";"jquery/";1;-83186;1
"13";"jquery/docs/";2;-13568;1
"18";"jquery/docs/style/";3;-10102;1
"19";"jquery/src/ajax/";3;-4622;1
"26";"jquery/build/";2;-22811;1
"29";"jquery/test/";2;-31195;1
"30";"jquery/test/lib/Test/";4;-9243;1
"32";"jquery/test/lib/";3;-10398;1
"40";"jquery/build/test/";3;-29447;1
"44";"jquery/src/";2;-26573;1
"45";"jquery/build/test/data/";4;-28292;1
"49";"jquery/test/data/";3;-23107;1
"50";"jquery/test/unit/";3;-16175;1
"60";"jquery/build/lib/";3;-9243;1
"81";"jquery/";1;-83187;1
"83";"jquery/docs/";2;-13568;1
"88";"jquery/docs/style/";3;-10102;1
"89";"jquery/src/ajax/";3;-4622;1
"96";"jquery/build/";2;-22811;1
"99";"jquery/test/";2;-31195;1
"100";"jquery/test/lib/Test/";4;-9243;1
"102";"jquery/test/lib/";3;-10399;1
"110";"jquery/build/test/";3;-29447;1
"114";"jquery/src/";2;-26574;1
"115";"jquery/build/test/data/";4;-28292;1
"119";"jquery/test/data/";3;-23108;1
"120";"jquery/test/unit/";3;-16175;1
"130";"jquery/build/lib/";3;-9243;1
"151";"jquery/";1;-83187;1
"153";"jquery/docs/";2;-13569;1
"158";"jquery/docs/style/";3;-10103;1
"159";"jquery/src/ajax/";3;-4622;1
"166";"jquery/build/";2;-22812;1
"169";"jquery/test/";2;-31195;1
"170";"jquery/test/lib/Test/";4;-9243;1
"172";"jquery/test/lib/";3;-10399;1
"180";"jquery/build/test/";3;-29448;1
"184";"jquery/src/";2;-26574;1
"185";"jquery/build/test/data/";4;-28292;1
"189";"jquery/test/data/";3;-23108;1
"190";"jquery/test/unit/";3;-16176;1
"200";"jquery/build/lib/";3;-9243;1
"221";"jquery/";1;-83186;1
"223";"jquery/docs/";2;-13568;1
"228";"jquery/docs/style/";3;-10102;1
"229";"jquery/src/ajax/";3;-4621;1
"236";"jquery/build/";2;-22811;1
"239";"jquery/test/";2;-31195;1
"240";"jquery/test/lib/Test/";4;-9243;1
"242";"jquery/test/lib/";3;-10398;1
"250";"jquery/build/test/";3;-29447;1
"254";"jquery/src/";2;-26573;1
"255";"jquery/build/test/data/";4;-28291;1
"259";"jquery/test/data/";3;-23107;1
"260";"jquery/test/unit/";3;-16175;1
"270";"jquery/build/lib/";3;-9243;1
"291";"jquery/";1;-83186;1
"293";"jquery/docs/";2;-13568;1
"298";"jquery/docs/style/";3;-10102;1
"299";"jquery/src/ajax/";3;-4621;1
"306";"jquery/build/";2;-22811;1
"309";"jquery/test/";2;-31195;1
"310";"jquery/test/lib/Test/";4;-9243;1
"312";"jquery/test/lib/";3;-10398;1
"320";"jquery/build/test/";3;-29447;1
"324";"jquery/src/";2;-26573;1
"325";"jquery/build/test/data/";4;-28292;1
"329";"jquery/test/data/";3;-23107;1
"330";"jquery/test/unit/";3;-16175;1
"340";"jquery/build/lib/";3;-9243;1
"361";"jquery/";1;-83186;1
"363";"jquery/docs/";2;-13568;1
"368";"jquery/docs/style/";3;-10102;1
"369";"jquery/src/ajax/";3;-4622;1
"376";"jquery/build/";2;-22811;1
"379";"jquery/test/";2;-31195;1
"380";"jquery/test/lib/Test/";4;-9243;1
"382";"jquery/test/lib/";3;-10398;1
"390";"jquery/build/test/";3;-29447;1
"394";"jquery/src/";2;-26574;1
"395";"jquery/build/test/data/";4;-28292;1
"399";"jquery/test/data/";3;-23107;1
"400";"jquery/test/unit/";3;-16175;1
"410";"jquery/build/lib/";3;-9243;1
"431";"jquery/";1;-83187;1
"433";"jquery/docs/";2;-13568;1
"438";"jquery/docs/style/";3;-10102;1
"439";"jquery/src/ajax/";3;-4622;1
"446";"jquery/build/";2;-22811;1
"449";"jquery/test/";2;-31195;1
"450";"jquery/test/lib/Test/";4;-9243;1
"452";"jquery/test/lib/";3;-10399;1
"460";"jquery/build/test/";3;-29447;1
"464";"jquery/src/";2;-26574;1
