"";"my.ta"
"jquery/build/build/";0
"jquery/build/docs/";0
"jquery/build/js/";0
"jquery/build/lib/";-9242,91983805668
"jquery/build/release/";-1653,64693446089
"jquery/build/runtest/";0
"jquery/build/speed/";0
"jquery/build/tasks/";-5077,95656779661
"jquery/build/test/";-29447,1141700405
"jquery/docs/build/";0
"jquery/docs/data/";0
"jquery/docs/events/";0
"jquery/docs/js/";0
"jquery/docs/style/";-10102,0850202429
"jquery/external/npo/";-1155,34722222222
"jquery/external/qunit-assert-step/";-1155,36591478697
"jquery/external/qunit/";0
"jquery/external/requirejs/";0
"jquery/external/sinon/";0
"jquery/external/sizzle/";0
"jquery/plugins/center/";0
"jquery/plugins/compat/";0
"jquery/plugins/form/";0
"jquery/src/ajax/";-9334,58056680162
"jquery/src/attributes/";-5745,16859852476
"jquery/src/core/";-7021,04741833509
"jquery/src/css/";-11681,4910432034
"jquery/src/data/";-4621,43308746048
"jquery/src/deferred/";-1155,35983263598
"jquery/src/dimensions/";0
"jquery/src/effects/";-2310,71022128556
"jquery/src/event/";-3070,36437246964
"jquery/src/exports/";-2079,39304531085
"jquery/src/fx/";-1155,34898785425
"jquery/src/jquery/";-1155,34898785425
"jquery/src/manipulation/";-6422,06743940991
"jquery/src/queue/";-1155,33825079031
"jquery/src/selector/";-2310,7044534413
"jquery/src/transports/";0
"jquery/src/traversing/";-3186,03607666291
"jquery/src/var/";-17168,5458377239
"jquery/test/data/";-30524,0850202429
"jquery/test/integration/";-1155,37637362637
"jquery/test/lib/";-10398,2647773279
"jquery/test/libs/";-3466,08062418726
"jquery/test/node_smoke_tests/";-8868,65962441315
"jquery/test/promises_aplus_adapters/";0
"jquery/test/tests/";0
"jquery/test/unit/";-19074,2834008097
