"";"my.ta"
"jquery/.github/";0
"jquery/ajax/";-1155,34898785425
"jquery/attr/";0
"jquery/browse/";0
"jquery/build/";-28947,179757085
"jquery/core/";-1155,34898785425
"jquery/dist/";0
"jquery/docs/";-13568,1894736842
"jquery/drag/";0
"jquery/event/";-1155,34898785425
"jquery/form/";-1155,34898785425
"jquery/fx/";-1155,34898785425
"jquery/jquery/";0
"jquery/sort/";0
"jquery/speed/";-1658,67125506073
"jquery/src/";-85846,9384615385
"jquery/test/";-47678,7165991903
"jquery/tmpl/";0
