"";"Date";"ModulePath";"ModuleLevel";"AlternativeCost"
"124";"2016-09-17";"Font-Awesome/";1;0
"125";"2016-09-18";"Font-Awesome/";1;0
"126";"2016-10-01";"Font-Awesome/";1;0
"127";"2016-10-03";"Font-Awesome/";1;0
"128";"2016-10-04";"Font-Awesome/";1;0
"129";"2016-10-05";"Font-Awesome/";1;0
"130";"2016-10-06";"Font-Awesome/";1;0
"131";"2016-10-10";"Font-Awesome/";1;0
"132";"2016-10-11";"Font-Awesome/";1;0
"133";"2016-10-12";"Font-Awesome/";1;0
"134";"2016-10-13";"Font-Awesome/";1;0
"135";"2016-10-22";"Font-Awesome/";1;0
"136";"2016-10-24";"Font-Awesome/";1;0
"137";"2016-10-25";"Font-Awesome/";1;0
"138";"2016-10-27";"Font-Awesome/";1;0
"139";"2016-10-28";"Font-Awesome/";1;0
"140";"2016-11-03";"Font-Awesome/";1;0
"141";"2016-11-06";"Font-Awesome/";1;-1242370
"142";"2016-11-14";"Font-Awesome/";1;-2484740
"143";"2016-11-21";"Font-Awesome/";1;-2484740
"144";"2016-11-24";"Font-Awesome/";1;-2506160
"145";"2016-11-29";"Font-Awesome/";1;-2506160
"146";"2016-12-01";"Font-Awesome/";1;-1263789
"147";"2016-12-02";"Font-Awesome/";1;-1263789
"148";"2016-12-18";"Font-Awesome/";1;-2527578
"149";"2016-12-19";"Font-Awesome/";1;-1263789
"150";"2016-12-22";"Font-Awesome/";1;-5055156
"151";"2017-01-28";"Font-Awesome/";1;-2548998
"152";"2017-03-15";"Font-Awesome/";1;-1274499
