"";"my.ta"
"Font-Awesome/build/_includes/";0
"Font-Awesome/build/_layouts/";0
"Font-Awesome/build/_plugins/";-1385,17588932806
"Font-Awesome/build/assets/";-4625,23517786561
"Font-Awesome/build/cheatsheet/";0
"Font-Awesome/build/community/";0
"Font-Awesome/build/contribute/";0
"Font-Awesome/build/examples/";0
"Font-Awesome/build/get-started/";0
"Font-Awesome/build/icons/";0
"Font-Awesome/build/integration/";0
"Font-Awesome/build/license/";0
"Font-Awesome/build/roadmap/";0
"Font-Awesome/build/thanks/";0
"Font-Awesome/build/whats-new/";0
"Font-Awesome/docs/.idea/";0
"Font-Awesome/fonts/4.4.0/";0
"Font-Awesome/source/_includes/";0
"Font-Awesome/source/_layouts/";0
"Font-Awesome/source/_plugins/";0
"Font-Awesome/src/3.2.1/";-18415,4011857708
"Font-Awesome/src/_includes/";0
"Font-Awesome/src/_layouts/";0
"Font-Awesome/src/_plugins/";-5929,12845849802
"Font-Awesome/src/assets/";-17505,2294117647
"Font-Awesome/src/cdn/";0
"Font-Awesome/src/test/";0
