"";"ModulePath";"ModuleLevel";"AlternativeCost";"pid"
"3702";"Font-Awesome/build/assets/";3;4589;4
"3724";"Font-Awesome/src/";2;29829;4
"3846";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"3897";"Font-Awesome/";1;86044;4
"3905";"Font-Awesome/docs/assets/js/";4;50479;4
"3910";"Font-Awesome/docs/";2;50479;4
"3924";"Font-Awesome/build/";2;5736;4
"3938";"Font-Awesome/build/assets/js/";4;4589;4
"3957";"Font-Awesome/build/assets/";3;4589;4
"3979";"Font-Awesome/src/";2;29829;4
"3993";"Font-Awesome/src/assets/js/";4;11473;4
"4003";"Font-Awesome/src/3.2.1/";3;18356;4
"4164";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"4215";"Font-Awesome/";1;86044;4
"4223";"Font-Awesome/docs/assets/js/";4;50479;4
"4228";"Font-Awesome/docs/";2;50479;4
"4242";"Font-Awesome/build/";2;5736;4
"4256";"Font-Awesome/build/assets/js/";4;4589;4
"4275";"Font-Awesome/build/assets/";3;4589;4
"4297";"Font-Awesome/src/";2;29829;4
"4311";"Font-Awesome/src/assets/js/";4;11473;4
"4321";"Font-Awesome/src/3.2.1/";3;18356;4
"4482";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"4533";"Font-Awesome/";1;86044;4
"4541";"Font-Awesome/docs/assets/js/";4;50479;4
"4546";"Font-Awesome/docs/";2;50479;4
"4560";"Font-Awesome/build/";2;5736;4
"4574";"Font-Awesome/build/assets/js/";4;4589;4
"4593";"Font-Awesome/build/assets/";3;4589;4
"4615";"Font-Awesome/src/";2;29829;4
"4629";"Font-Awesome/src/assets/js/";4;11473;4
"4639";"Font-Awesome/src/3.2.1/";3;18356;4
"4800";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"4851";"Font-Awesome/";1;86044;4
"4859";"Font-Awesome/docs/assets/js/";4;50479;4
"4864";"Font-Awesome/docs/";2;50479;4
"4878";"Font-Awesome/build/";2;5736;4
"4892";"Font-Awesome/build/assets/js/";4;4589;4
"4911";"Font-Awesome/build/assets/";3;4589;4
"4933";"Font-Awesome/src/";2;29829;4
"4947";"Font-Awesome/src/assets/js/";4;11473;4
"4957";"Font-Awesome/src/3.2.1/";3;18356;4
"5118";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"5169";"Font-Awesome/";1;86044;4
"5177";"Font-Awesome/docs/assets/js/";4;50479;4
"5182";"Font-Awesome/docs/";2;50479;4
"5196";"Font-Awesome/build/";2;5736;4
"5210";"Font-Awesome/build/assets/js/";4;4589;4
"5229";"Font-Awesome/build/assets/";3;4589;4
"5251";"Font-Awesome/src/";2;29829;4
"5265";"Font-Awesome/src/assets/js/";4;11473;4
"5275";"Font-Awesome/src/3.2.1/";3;18356;4
"5436";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"5487";"Font-Awesome/";1;86044;4
"5495";"Font-Awesome/docs/assets/js/";4;50479;4
"5500";"Font-Awesome/docs/";2;50479;4
"5514";"Font-Awesome/build/";2;5736;4
"5528";"Font-Awesome/build/assets/js/";4;4589;4
"5547";"Font-Awesome/build/assets/";3;4589;4
"5569";"Font-Awesome/src/";2;29829;4
"5583";"Font-Awesome/src/assets/js/";4;11473;4
"5593";"Font-Awesome/src/3.2.1/";3;18356;4
"5754";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"5805";"Font-Awesome/";1;86044;4
"5813";"Font-Awesome/docs/assets/js/";4;50479;4
"5818";"Font-Awesome/docs/";2;50479;4
"5832";"Font-Awesome/build/";2;5736;4
"5846";"Font-Awesome/build/assets/js/";4;4589;4
"5865";"Font-Awesome/build/assets/";3;4589;4
"5887";"Font-Awesome/src/";2;29829;4
"5901";"Font-Awesome/src/assets/js/";4;11473;4
"5911";"Font-Awesome/src/3.2.1/";3;18356;4
"6072";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"6123";"Font-Awesome/";1;86044;4
"6131";"Font-Awesome/docs/assets/js/";4;50479;4
"6136";"Font-Awesome/docs/";2;50479;4
"6150";"Font-Awesome/build/";2;5736;4
"6164";"Font-Awesome/build/assets/js/";4;4589;4
"6183";"Font-Awesome/build/assets/";3;4589;4
"6205";"Font-Awesome/src/";2;29829;4
"6219";"Font-Awesome/src/assets/js/";4;11473;4
"6229";"Font-Awesome/src/3.2.1/";3;18356;4
"6390";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"6441";"Font-Awesome/";1;86044;4
"6449";"Font-Awesome/docs/assets/js/";4;50479;4
"6454";"Font-Awesome/docs/";2;50479;4
"6468";"Font-Awesome/build/";2;5736;4
"6482";"Font-Awesome/build/assets/js/";4;4589;4
"6501";"Font-Awesome/build/assets/";3;4589;4
"6523";"Font-Awesome/src/";2;29829;4
"6537";"Font-Awesome/src/assets/js/";4;11473;4
"6547";"Font-Awesome/src/3.2.1/";3;18356;4
"6708";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"6759";"Font-Awesome/";1;86044;4
"6767";"Font-Awesome/docs/assets/js/";4;50479;4
"6772";"Font-Awesome/docs/";2;50479;4
"6786";"Font-Awesome/build/";2;5736;4
"6800";"Font-Awesome/build/assets/js/";4;4589;4
"6819";"Font-Awesome/build/assets/";3;4589;4
"6841";"Font-Awesome/src/";2;29829;4
"6855";"Font-Awesome/src/assets/js/";4;11473;4
"6865";"Font-Awesome/src/3.2.1/";3;18356;4
"7026";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"7077";"Font-Awesome/";1;86044;4
"7085";"Font-Awesome/docs/assets/js/";4;50479;4
"7090";"Font-Awesome/docs/";2;50479;4
"7104";"Font-Awesome/build/";2;5736;4
"7118";"Font-Awesome/build/assets/js/";4;4589;4
"7137";"Font-Awesome/build/assets/";3;4589;4
"7159";"Font-Awesome/src/";2;29829;4
"7173";"Font-Awesome/src/assets/js/";4;11473;4
"7183";"Font-Awesome/src/3.2.1/";3;18356;4
"7344";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"7395";"Font-Awesome/";1;86044;4
"7403";"Font-Awesome/docs/assets/js/";4;50479;4
"7408";"Font-Awesome/docs/";2;50479;4
"7422";"Font-Awesome/build/";2;5736;4
"7436";"Font-Awesome/build/assets/js/";4;4589;4
"7455";"Font-Awesome/build/assets/";3;4589;4
"7477";"Font-Awesome/src/";2;29829;4
"7491";"Font-Awesome/src/assets/js/";4;11473;4
"7501";"Font-Awesome/src/3.2.1/";3;18356;4
"7662";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"7713";"Font-Awesome/";1;86044;4
"7721";"Font-Awesome/docs/assets/js/";4;50479;4
"7726";"Font-Awesome/docs/";2;50479;4
"7740";"Font-Awesome/build/";2;5736;4
"7754";"Font-Awesome/build/assets/js/";4;4589;4
"7773";"Font-Awesome/build/assets/";3;4589;4
"7795";"Font-Awesome/src/";2;29829;4
"7809";"Font-Awesome/src/assets/js/";4;11473;4
"7819";"Font-Awesome/src/3.2.1/";3;18356;4
"7980";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"8031";"Font-Awesome/";1;86044;4
"8039";"Font-Awesome/docs/assets/js/";4;50479;4
"8044";"Font-Awesome/docs/";2;50479;4
"8058";"Font-Awesome/build/";2;5736;4
"8072";"Font-Awesome/build/assets/js/";4;4589;4
"8091";"Font-Awesome/build/assets/";3;4589;4
"8113";"Font-Awesome/src/";2;29829;4
"8127";"Font-Awesome/src/assets/js/";4;11473;4
"8137";"Font-Awesome/src/3.2.1/";3;18356;4
"8298";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"8349";"Font-Awesome/";1;86044;4
"8357";"Font-Awesome/docs/assets/js/";4;50479;4
"8362";"Font-Awesome/docs/";2;50479;4
"8376";"Font-Awesome/build/";2;5736;4
"8390";"Font-Awesome/build/assets/js/";4;4589;4
"8409";"Font-Awesome/build/assets/";3;4589;4
"8431";"Font-Awesome/src/";2;29829;4
"8445";"Font-Awesome/src/assets/js/";4;11473;4
"8455";"Font-Awesome/src/3.2.1/";3;18356;4
"8616";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"8667";"Font-Awesome/";1;86044;4
"8675";"Font-Awesome/docs/assets/js/";4;50479;4
"8680";"Font-Awesome/docs/";2;50479;4
"8694";"Font-Awesome/build/";2;5736;4
"8708";"Font-Awesome/build/assets/js/";4;4589;4
"8727";"Font-Awesome/build/assets/";3;4589;4
