"";"my.ta"
"Font-Awesome/build/_includes/ads/";0
"Font-Awesome/build/_includes/community/";0
"Font-Awesome/build/_includes/examples/";0
"Font-Awesome/build/_includes/icons/";0
"Font-Awesome/build/_includes/tests/";0
"Font-Awesome/build/assets/css/";0
"Font-Awesome/build/assets/font/";0
"Font-Awesome/build/assets/ico/";0
"Font-Awesome/build/assets/img/";0
"Font-Awesome/build/assets/js/";-4625,23517786561
"Font-Awesome/build/assets/less/";0
"Font-Awesome/build/icons/print-design/";0
"Font-Awesome/docs/.idea/libraries/";0
"Font-Awesome/docs/.idea/scopes/";0
"Font-Awesome/docs/assets/css/";0
"Font-Awesome/docs/assets/font/";0
"Font-Awesome/docs/assets/ico/";0
"Font-Awesome/docs/assets/img/";0
"Font-Awesome/docs/assets/js/";26699,2154150198
"Font-Awesome/docs/assets/less/";0
"Font-Awesome/source/_includes/ads/";0
"Font-Awesome/source/_includes/community/";0
"Font-Awesome/source/_includes/examples/";0
"Font-Awesome/source/_includes/icons/";0
"Font-Awesome/source/_includes/tests/";0
"Font-Awesome/source/assets/css/";0
"Font-Awesome/source/assets/ico/";0
"Font-Awesome/source/assets/img/";0
"Font-Awesome/source/assets/js/";0
"Font-Awesome/source/assets/less/";0
"Font-Awesome/src/3.2.1/assets/";-18415,4011857708
"Font-Awesome/src/3.2.1/cheatsheet/";0
"Font-Awesome/src/3.2.1/community/";0
"Font-Awesome/src/3.2.1/examples/";0
"Font-Awesome/src/3.2.1/get-started/";0
"Font-Awesome/src/3.2.1/icons/";0
"Font-Awesome/src/3.2.1/license/";0
"Font-Awesome/src/3.2.1/whats-new/";0
"Font-Awesome/src/_includes/accessibility/";0
"Font-Awesome/src/_includes/ads/";0
"Font-Awesome/src/_includes/code/";0
"Font-Awesome/src/_includes/community/";0
"Font-Awesome/src/_includes/examples/";0
"Font-Awesome/src/_includes/icons/";0
"Font-Awesome/src/_includes/modals/";0
"Font-Awesome/src/_includes/products/";0
"Font-Awesome/src/_includes/tests/";0
"Font-Awesome/src/assets/css/";0
"Font-Awesome/src/assets/font-awesome/";0
"Font-Awesome/src/assets/ico/";0
"Font-Awesome/src/assets/img/";0
"Font-Awesome/src/assets/js/";7137,66600790514
"Font-Awesome/src/assets/less/";0
"Font-Awesome/src/test/height/";0
