"";"my.ta"
"Font-Awesome/";83307,2470355731
"Font-Awesome/build/";-6008,5652173913
"Font-Awesome/build/_includes/";0
"Font-Awesome/build/_includes/ads/";0
"Font-Awesome/build/_includes/community/";0
"Font-Awesome/build/_includes/examples/";0
"Font-Awesome/build/_includes/icons/";0
"Font-Awesome/build/_includes/tests/";0
"Font-Awesome/build/_layouts/";0
"Font-Awesome/build/_plugins/";-1385,17588932806
"Font-Awesome/build/assets/";-4625,23517786561
"Font-Awesome/build/assets/css/";0
"Font-Awesome/build/assets/font/";0
"Font-Awesome/build/assets/ico/";0
"Font-Awesome/build/assets/img/";0
"Font-Awesome/build/assets/js/";-4625,23517786561
"Font-Awesome/build/assets/less/";0
"Font-Awesome/build/cheatsheet/";0
"Font-Awesome/build/community/";0
"Font-Awesome/build/contribute/";0
"Font-Awesome/build/examples/";0
"Font-Awesome/build/get-started/";0
"Font-Awesome/build/icons/";0
"Font-Awesome/build/icons/print-design/";0
"Font-Awesome/build/integration/";0
"Font-Awesome/build/license/";0
"Font-Awesome/build/roadmap/";0
"Font-Awesome/build/thanks/";0
"Font-Awesome/build/whats-new/";0
"Font-Awesome/css/";0
"Font-Awesome/docs/";26699,2154150198
"Font-Awesome/docs/.idea/";0
"Font-Awesome/docs/.idea/libraries/";0
"Font-Awesome/docs/.idea/scopes/";0
"Font-Awesome/docs/assets/css/";0
"Font-Awesome/docs/assets/font/";0
"Font-Awesome/docs/assets/ico/";0
"Font-Awesome/docs/assets/img/";0
"Font-Awesome/docs/assets/js/";26699,2154150198
"Font-Awesome/docs/assets/less/";0
"Font-Awesome/font/";0
"Font-Awesome/fonts/";0
"Font-Awesome/fonts/4.4.0/";0
"Font-Awesome/less/";0
"Font-Awesome/sass/";0
"Font-Awesome/scss/";0
"Font-Awesome/source/";0
"Font-Awesome/source/_includes/";0
"Font-Awesome/source/_includes/ads/";0
"Font-Awesome/source/_includes/community/";0
"Font-Awesome/source/_includes/examples/";0
"Font-Awesome/source/_includes/icons/";0
"Font-Awesome/source/_includes/tests/";0
"Font-Awesome/source/_layouts/";0
"Font-Awesome/source/_plugins/";0
"Font-Awesome/source/assets/css/";0
"Font-Awesome/source/assets/ico/";0
"Font-Awesome/source/assets/img/";0
"Font-Awesome/source/assets/js/";0
"Font-Awesome/source/assets/less/";0
"Font-Awesome/src/";-4710,41501976285
"Font-Awesome/src/3.2.1/";-18415,4011857708
"Font-Awesome/src/3.2.1/assets/";-18415,4011857708
"Font-Awesome/src/3.2.1/cheatsheet/";0
"Font-Awesome/src/3.2.1/community/";0
"Font-Awesome/src/3.2.1/examples/";0
"Font-Awesome/src/3.2.1/get-started/";0
"Font-Awesome/src/3.2.1/icons/";0
"Font-Awesome/src/3.2.1/license/";0
"Font-Awesome/src/3.2.1/whats-new/";0
"Font-Awesome/src/_includes/";0
"Font-Awesome/src/_includes/accessibility/";0
"Font-Awesome/src/_includes/ads/";0
"Font-Awesome/src/_includes/code/";0
"Font-Awesome/src/_includes/community/";0
"Font-Awesome/src/_includes/examples/";0
"Font-Awesome/src/_includes/icons/";0
"Font-Awesome/src/_includes/modals/";0
"Font-Awesome/src/_includes/products/";0
"Font-Awesome/src/_includes/tests/";0
"Font-Awesome/src/_layouts/";0
"Font-Awesome/src/_plugins/";-5929,12845849802
"Font-Awesome/src/assets/";-17505,2294117647
"Font-Awesome/src/assets/css/";0
"Font-Awesome/src/assets/font-awesome/";0
"Font-Awesome/src/assets/ico/";0
"Font-Awesome/src/assets/img/";0
"Font-Awesome/src/assets/js/";7137,66600790514
"Font-Awesome/src/assets/less/";0
"Font-Awesome/src/cdn/";0
"Font-Awesome/src/test/";0
"Font-Awesome/src/test/height/";0
