"";"my.ta"
"atom/benchmark/fixtures/";0
"atom/build-old/certs/";0
"atom/build-old/debian/";0
"atom/build-old/lib/";0
"atom/build-old/tasks/";0
"atom/build/certs/";0
"atom/build/debian/";0
"atom/build/lib/";-3409,81593927894
"atom/build/tasks/";-899,648481973435
"atom/docs/build-instructions/";0
"atom/old-build/certs/";0
"atom/old-build/tasks/";0
"atom/resources/linux/";0
"atom/resources/mac/";0
"atom/resources/win/";0
"atom/script-old/utils/";0
"atom/script/lib/";-22924,1831941545
"atom/script/utils/";-418,323529411765
"atom/spec/browser/";-448,804554079696
"atom/spec/fixtures/";-32979,8135673624
"atom/spec/integration/";0
"atom/spec/main-process/";-2008,62903225806
"atom/src/browser/";-224,402277039848
"atom/src/main-process/";-3664,76138519924
"atom/static/variables/";0
