"";"my.ta"
"atom/resources/app-icons/beta/";0
"atom/resources/app-icons/dev/";0
"atom/resources/app-icons/stable/";0
"atom/resources/linux/debian/";0
"atom/resources/linux/redhat/";0
"atom/spec/fixtures/babel/";-1260,85341555977
"atom/spec/fixtures/native-cache/";-5829,70920303605
"atom/spec/integration/helpers/";0
