"";"ModulePath";"ModuleLevel";"AlternativeCost";"pid"
"34";"atom/src/main-process/";3;-4264;9
"39";"atom/script/lib/";3;-29843;9
"43";"atom/spec/fixtures/";3;-33433;9
"44";"atom/spec/";2;-48467;9
"45";"atom/src/";2;-20419;9
"48";"atom/";1;-106133;9
"49";"atom/build/";2;-4937;9
"54";"atom/script/";2;-30068;9
"62";"atom/exports/";2;-4488;9
"86";"atom/spec/fixtures/native-cache/";4;-5834;9
"151";"atom/src/main-process/";3;-4264;9
"156";"atom/script/lib/";3;-29843;9
"160";"atom/spec/fixtures/";3;-33433;9
"161";"atom/spec/";2;-48467;9
"162";"atom/src/";2;-20419;9
"165";"atom/";1;-106133;9
"166";"atom/build/";2;-4937;9
"171";"atom/script/";2;-30068;9
"179";"atom/exports/";2;-4488;9
"203";"atom/spec/fixtures/native-cache/";4;-5834;9
"268";"atom/src/main-process/";3;-4264;9
"273";"atom/script/lib/";3;-29843;9
"277";"atom/spec/fixtures/";3;-33433;9
"278";"atom/spec/";2;-48467;9
"279";"atom/src/";2;-20419;9
"282";"atom/";1;-106133;9
"283";"atom/build/";2;-4937;9
"288";"atom/script/";2;-30068;9
"296";"atom/exports/";2;-4488;9
"320";"atom/spec/fixtures/native-cache/";4;-5834;9
"385";"atom/src/main-process/";3;-4264;9
"390";"atom/script/lib/";3;-29843;9
"394";"atom/spec/fixtures/";3;-33433;9
"395";"atom/spec/";2;-48467;9
"396";"atom/src/";2;-20419;9
"399";"atom/";1;-106133;9
"400";"atom/build/";2;-4937;9
"405";"atom/script/";2;-30068;9
"413";"atom/exports/";2;-4488;9
"437";"atom/spec/fixtures/native-cache/";4;-5834;9
"502";"atom/src/main-process/";3;-4264;9
"507";"atom/script/lib/";3;-29843;9
"511";"atom/spec/fixtures/";3;-33433;9
"512";"atom/spec/";2;-48467;9
"513";"atom/src/";2;-20419;9
"516";"atom/";1;-106133;9
"517";"atom/build/";2;-4937;9
"522";"atom/script/";2;-30068;9
"530";"atom/exports/";2;-4488;9
"554";"atom/spec/fixtures/native-cache/";4;-5834;9
"619";"atom/src/main-process/";3;-4264;9
"624";"atom/script/lib/";3;-29843;9
"628";"atom/spec/fixtures/";3;-33433;9
"629";"atom/spec/";2;-48467;9
"630";"atom/src/";2;-20419;9
"633";"atom/";1;-106133;9
"634";"atom/build/";2;-4937;9
"639";"atom/script/";2;-30068;9
"647";"atom/exports/";2;-4488;9
"671";"atom/spec/fixtures/native-cache/";4;-5834;9
"736";"atom/src/main-process/";3;-4264;9
"741";"atom/script/lib/";3;-29843;9
"745";"atom/spec/fixtures/";3;-33433;9
"746";"atom/spec/";2;-48467;9
"747";"atom/src/";2;-20644;9
"750";"atom/";1;-106358;9
"751";"atom/build/";2;-4937;9
"756";"atom/script/";2;-30068;9
"764";"atom/exports/";2;-4488;9
"788";"atom/spec/fixtures/native-cache/";4;-5834;9
"853";"atom/src/main-process/";3;-4264;9
"858";"atom/script/lib/";3;-29843;9
"862";"atom/spec/fixtures/";3;-33433;9
"863";"atom/spec/";2;-48467;9
"864";"atom/src/";2;-20644;9
"867";"atom/";1;-106358;9
"868";"atom/build/";2;-4937;9
"873";"atom/script/";2;-30068;9
"881";"atom/exports/";2;-4488;9
"905";"atom/spec/fixtures/native-cache/";4;-5834;9
"970";"atom/src/main-process/";3;-4264;9
"975";"atom/script/lib/";3;-29843;9
"979";"atom/spec/fixtures/";3;-33433;9
"980";"atom/spec/";2;-48467;9
"981";"atom/src/";2;-20643;9
"984";"atom/";1;-106358;9
"985";"atom/build/";2;-4937;9
"990";"atom/script/";2;-30067;9
"998";"atom/exports/";2;-4488;9
"1022";"atom/spec/fixtures/native-cache/";4;-5834;9
"1087";"atom/src/main-process/";3;-4263;9
"1092";"atom/script/lib/";3;-29843;9
"1096";"atom/spec/fixtures/";3;-33433;9
"1097";"atom/spec/";2;-48467;9
"1098";"atom/src/";2;-20643;9
"1101";"atom/";1;-106358;9
"1102";"atom/build/";2;-4937;9
"1107";"atom/script/";2;-30067;9
"1115";"atom/exports/";2;-4488;9
"1139";"atom/spec/fixtures/native-cache/";4;-5834;9
"1204";"atom/src/main-process/";3;-4263;9
"1209";"atom/script/lib/";3;-29843;9
"1213";"atom/spec/fixtures/";3;-33433;9
"1214";"atom/spec/";2;-48467;9
"1215";"atom/src/";2;-20643;9
"1218";"atom/";1;-106358;9
"1219";"atom/build/";2;-4937;9
"1224";"atom/script/";2;-30067;9
"1232";"atom/exports/";2;-4488;9
"1256";"atom/spec/fixtures/native-cache/";4;-5834;9
"1321";"atom/src/main-process/";3;-4263;9
"1326";"atom/script/lib/";3;-29843;9
"1330";"atom/spec/fixtures/";3;-33433;9
"1331";"atom/spec/";2;-48467;9
"1332";"atom/src/";2;-20643;9
"1335";"atom/";1;-106358;9
"1336";"atom/build/";2;-4937;9
"1341";"atom/script/";2;-30067;9
"1349";"atom/exports/";2;-4488;9
"1373";"atom/spec/fixtures/native-cache/";4;-5834;9
"1438";"atom/src/main-process/";3;-4263;9
"1443";"atom/script/lib/";3;-29843;9
