"";"ModulePath";"ModuleLevel";"AlternativeCost";"pid"
"1";"react/";1;176974;6
"7";"react/docs/";2;27142;6
"17";"react/docs/_js/";3;9416;6
"26";"react/docs/docs/";3;9970;6
"27";"react/docs/docs/likebutton/";4;9416;6
"52";"react/docs/js/";3;5539;6
"110";"react/grunt/tasks/";3;9416;6
"121";"react/npm-react-codemod/";2;24372;6
"122";"react/npm-react-codemod/test/";3;18833;6
"124";"react/npm-react-codemod/transforms/";3;5539;6
"130";"react/npm-react/";2;12740;6
"131";"react/npm-react/addons/";3;13294;6
"159";"react/scripts/";2;16063;6
"160";"react/scripts/bench/";3;6647;6
"163";"react/scripts/perf-counters/";3;7201;6
"164";"react/scripts/perf-counters/src/";4;6093;6
"165";"react/src/";2;127953;6
"166";"react/src/addons/";3;17171;6
"168";"react/src/addons/link/";4;5539;6
"170";"react/src/addons/transitions/";4;4431;6
"172";"react/src/browser/";3;11078;6
"184";"react/src/browser/ui/";4;7201;6
"200";"react/src/core/";3;54283;6
"201";"react/src/core/__tests__/";4;21049;6
"202";"react/src/dom/";3;15509;6
"204";"react/src/dom/components/";4;12186;6
"210";"react/src/event/";3;11078;6
"214";"react/src/event/eventPlugins/";4;4431;6
"216";"react/src/event/synthetic/";4;5539;6
"218";"react/src/eventPlugins/";3;4985;6
"236";"react/src/modern/class/";4;4431;6
"240";"react/src/renderers/dom/";4;11632;6
"278";"react/src/test/";3;4431;6
"279";"react/src/test/__tests__/";4;4431;6
"280";"react/src/utils/";3;12740;6
"281";"react/src/utils/__tests__/";4;7755;6
"286";"react/src/vendor/core/";4;7201;6
"308";"react/";1;41507;6
"314";"react/docs/";2;6366;6
"428";"react/npm-react-codemod/";2;5716;6
"429";"react/npm-react-codemod/test/";3;4417;6
"472";"react/src/";2;30010;6
"473";"react/src/addons/";3;4027;6
"507";"react/src/core/";3;12731;6
"508";"react/src/core/__tests__/";4;4937;6
"615";"react/";1;41637;6
"621";"react/docs/";2;6366;6
"735";"react/npm-react-codemod/";2;5716;6
"736";"react/npm-react-codemod/test/";3;4417;6
"779";"react/src/";2;30140;6
"780";"react/src/addons/";3;4027;6
"814";"react/src/core/";3;12731;6
"815";"react/src/core/__tests__/";4;4937;6
"922";"react/";1;41637;6
"928";"react/docs/";2;6366;6
"1042";"react/npm-react-codemod/";2;5716;6
"1043";"react/npm-react-codemod/test/";3;4417;6
"1086";"react/src/";2;30140;6
"1087";"react/src/addons/";3;4027;6
"1121";"react/src/core/";3;12731;6
"1122";"react/src/core/__tests__/";4;4937;6
"1229";"react/";1;41637;6
"1235";"react/docs/";2;6366;6
"1349";"react/npm-react-codemod/";2;5716;6
"1350";"react/npm-react-codemod/test/";3;4417;6
"1393";"react/src/";2;30139;6
"1394";"react/src/addons/";3;4027;6
"1428";"react/src/core/";3;12731;6
"1429";"react/src/core/__tests__/";4;4937;6
"1536";"react/";1;178637;6
"1542";"react/docs/";2;27142;6
"1552";"react/docs/_js/";3;9417;6
"1561";"react/docs/docs/";3;9971;6
"1562";"react/docs/docs/likebutton/";4;9417;6
"1587";"react/docs/js/";3;5539;6
"1645";"react/grunt/tasks/";3;9417;6
"1656";"react/npm-react-codemod/";2;24372;6
"1657";"react/npm-react-codemod/test/";3;18833;6
"1659";"react/npm-react-codemod/transforms/";3;5539;6
"1665";"react/npm-react/";2;12740;6
"1666";"react/npm-react/addons/";3;13294;6
"1694";"react/scripts/";2;16064;6
"1695";"react/scripts/bench/";3;6647;6
"1698";"react/scripts/perf-counters/";3;7201;6
"1699";"react/scripts/perf-counters/src/";4;6093;6
"1700";"react/src/";2;129615;6
"1701";"react/src/addons/";3;17172;6
"1703";"react/src/addons/link/";4;5539;6
"1705";"react/src/addons/transitions/";4;4432;6
"1707";"react/src/browser/";3;11079;6
"1719";"react/src/browser/ui/";4;7201;6
"1735";"react/src/core/";3;54284;6
"1736";"react/src/core/__tests__/";4;21049;6
"1737";"react/src/dom/";3;15510;6
"1739";"react/src/dom/components/";4;12186;6
"1745";"react/src/event/";3;11079;6
"1749";"react/src/event/eventPlugins/";4;4432;6
